Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
10568167;;;40.0;;;;50.0;;;;52.0;72.0;55.0;55.0;57.0;66.0;62.0;;54.0;71.0;50.0;;;;;;;;;;;;;;;;;;;;;34.0;;;55.0;50.0;42.0;32.0;;;;;;;0.0;Graduated (T)
10575589;;;23.0;50.0;0.0;40.0;;;;;43.0;;;;;;;;;;28.0;;;;;;;;;;;;;;;;30.0;41.0;;;;;;;29.0;65.0;;;;;;;;;;Discontinued
10576160;;;;;;;0.0;0.0;;33.0;;;;;;;;;;;29.0;;;;;;;;;;;;;;;;;33.0;50.0;;;0.0;;;32.0;0.0;;0.0;;;;;;;0.0;Discontinued
10578103;72.0;71.0;54.0;;70.0;55.0;;53.0;;64.0;;98.0;;;;;;;;;50.0;71.0;;;;;;;;;50.0;;;;;;50.0;;87.0;61.0;51.0;41.0;;;57.0;64.0;;52.0;;50.0;52.0;;58.0;66.0;0.0;Graduated_2
10582887;32.0;50.0;;55.0;;;50.0;;0.0;54.0;;78.0;56.0;52.0;54.0;56.0;57.0;59.0;52.0;54.0;58.0;50.0;;;;;;;44.0;;39.0;;50.0;;;;50.0;35.0;;;42.0;35.0;;;50.0;50.0;50.0;0.0;56.0;40.0;57.0;56.0;0.0;56.0;0.0;Active (BEng)
10582968;50.0;62.0;;65.0;;;67.0;;;69.0;;96.0;54.0;73.0;57.0;72.0;61.0;62.0;62.0;75.0;57.0;67.0;;;;;;;50.0;;50.0;;60.0;63.0;;;50.0;38.0;;;;60.0;51.0;;58.0;60.0;;58.0;;56.0;56.0;;50.0;64.0;;Graduated_1
10593765;51.0;59.0;44.0;;63.0;60.0;;50.0;35.0;;53.0;75.0;;;;;;;;;55.0;50.0;;;;;;;51.0;;42.0;;50.0;;;;42.0;41.0;;;;43.0;;;56.0;60.0;;50.0;57.0;41.0;52.0;;56.0;40.0;0.0;Graduated_2
10602900;0.0;;40.0;;55.0;56.0;;47.0;;;62.0;75.0;;;;;;;;;47.0;;;;;;;;0.0;;59.0;;52.0;53.0;;;50.0;;;;64.0;31.0;0.0;;65.0;69.0;;59.0;54.0;0.0;53.0;;53.0;0.0;;Discontinued
10613880;;;0.0;;;;;;;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.0;55.0;;0.0;;;;;;;;Discontinued
10615352;58.0;50.0;;51.0;;;50.0;;45.0;50.0;;100.0;59.0;63.0;57.0;62.0;69.0;56.0;64.0;83.0;56.0;63.0;70.0;50.0;49.0;54.0;52.0;53.0;50.0;0.0;41.0;56.0;50.0;55.0;63.0;50.0;;36.0;;;;50.0;;;57.0;55.0;;50.0;62.0;48.0;53.0;58.0;34.0;50.0;0.0;Active (BEng)
10620096;32.0;46.0;;54.0;;;50.0;;57.0;52.0;;99.0;58.0;70.0;64.0;75.0;59.0;55.0;67.0;78.0;53.0;59.0;66.0;59.0;65.0;66.0;57.0;56.0;55.0;0.0;63.0;60.0;43.0;50.0;64.0;64.0;;40.0;;;;45.0;;;65.0;61.0;;52.0;;51.0;62.0;75.0;33.0;40.0;0.0;Graduated_2
10621441;64.0;61.0;50.0;;83.0;79.0;;54.0;0.0;;58.0;0.0;;;;;;;;;39.0;68.0;;;;;;;64.0;;0.0;;0.0;;;;50.0;;64.0;78.0;64.0;33.0;;0.0;57.0;40.0;59.0;43.0;;40.0;50.0;62.0;42.0;44.0;;Discontinued
10623028;50.0;59.0;;56.0;;;56.0;;;58.0;;75.0;55.0;62.0;53.0;75.0;64.0;54.0;72.0;76.0;57.0;69.0;;;;;;;55.0;;52.0;;50.0;54.0;;;;43.0;;;;54.0;31.0;;60.0;66.0;;64.0;;58.0;52.0;72.0;40.0;51.0;;Graduated_3
10624849;31.0;54.0;;67.0;75.0;80.0;54.0;;44.0;68.0;;77.0;;;;;;;;;55.0;67.0;72.0;54.0;45.0;66.0;54.0;53.0;43.0;0.0;50.0;64.0;53.0;50.0;38.0;51.0;48.0;43.0;;;;;;;67.0;65.0;;64.0;;50.0;50.0;;61.0;58.0;0.0;Discontinued
10626680;0.0;;39.0;;52.0;64.0;;55.0;;51.0;;65.0;;;;;;;;;50.0;;;;;;;;0.0;;;;;;;;34.0;37.0;;;;33.0;;;31.0;43.0;;40.0;;;;;;;0.0;Discontinued
10629582;64.0;66.0;;72.0;;;80.0;;78.0;76.0;;79.0;59.0;81.0;65.0;83.0;60.0;70.0;83.0;64.0;71.0;74.0;63.0;76.0;77.0;74.0;65.0;72.0;61.0;0.0;78.0;74.0;68.0;76.0;82.0;76.0;;69.0;;;;81.0;;;75.0;70.0;;75.0;;83.0;75.0;;77.0;70.0;0.0;Graduated_1
10632833;0.0;;48.0;;70.0;65.0;;50.0;;;68.0;;;;;;;;;;59.0;;;;;;;;;;;;;;;;46.0;;;;;;;;76.0;60.0;;53.0;;;40.0;;55.0;0.0;0.0;Discontinued
10632868;50.0;57.0;;62.0;68.0;77.0;55.0;;;61.0;;0.0;;;;;;;;;60.0;76.0;;;;;;;56.0;;53.0;;51.0;52.0;;;;50.0;;;0.0;;45.0;;53.0;60.0;;52.0;52.0;0.0;0.0;50.0;40.0;0.0;0.0;Active (BEng)
10632965;;;37.0;;57.0;72.0;;57.0;;;71.0;;;;;;;;;;38.0;;;;;;;;0.0;;;;;;;;50.0;;;;0.0;36.0;;;55.0;58.0;;50.0;;;45.0;48.0;43.0;;;Discontinued
10632982;46.0;50.0;55.0;;;70.0;;51.0;;;56.0;69.0;;;;;;;;;50.0;63.0;;;45.0;;;;59.0;;50.0;;36.0;53.0;;;52.0;;;;50.0;;28.0;;62.0;43.0;;50.0;67.0;30.0;43.0;61.0;42.0;45.0;;Active (BEng)
10633104;50.0;;55.0;;;80.0;;64.0;;;64.0;65.0;;;;;;;;;68.0;;;;;;;;0.0;;;;;;;;50.0;;56.0;67.0;;50.0;38.0;0.0;61.0;50.0;;50.0;;51.0;45.0;;50.0;41.0;;Active (BEng)
10633172;62.0;;57.0;;;76.0;;65.0;;;77.0;93.0;;;;;;;;;61.0;;;;;;;;50.0;;;;;;;;37.0;41.0;;;;40.0;55.0;0.0;64.0;71.0;;62.0;;52.0;63.0;;55.0;64.0;;Graduated_2
10633244;50.0;63.0;55.0;;55.0;63.0;;67.0;57.0;60.0;;75.0;;;;;;;;;43.0;65.0;;;;;;;47.0;;;;;;;;;;82.0;87.0;;46.0;50.0;;66.0;78.0;;68.0;;53.0;54.0;;54.0;50.0;0.0;Discontinued
10633325;52.0;57.0;54.0;;;75.0;;56.0;;;50.0;69.0;;;;;;;;;64.0;73.0;;;;;;;;;42.0;;;;;;50.0;;76.0;63.0;;32.0;;;67.0;50.0;72.0;43.0;;52.0;59.0;;62.0;62.0;;Graduated_2
10633384;;;65.0;;88.0;79.0;;44.0;;69.0;;0.0;;;;;;;;;53.0;;;;;;;;42.0;;;;;;;;;;83.0;60.0;0.0;0.0;;;76.0;55.0;;52.0;;;0.0;;50.0;0.0;0.0;Discontinued
